Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
4687,Lakes & Tanks ,Red Lake Icrisat,6.6,6.62,345,3.2,4.6,0.14,6,110,1.8,,,,4,8,57,39,28,5,,Less than 0.01,88,17,11,5,7,198,138,10,,0.13,0.5,2,0.21,14.34,0.32
4689,Lakes & Tanks ,"Sunnam Kunta, Jubille hills",3.6,7.08,636,4.2,2.84,,2,66,Less than 1.8,,,,2.4,5,202,66,51,1.5,0.4,Less than 0.01,245,54,26.73,29,48,397,,10,0.2,,0.5,3,0.88,29.43,1.33
4690,Lakes & Tanks ,"Banjara Kunta (Singadi Kunta), Shaikpet",Sample not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4691,Lakes & Tanks ,"Nagole Cheruvu, Uppal Malkajigiri District.",0.3,7.06,1292,8,0.82,,24,430,Less than 1.8,,,,13.9,5,280,168,92,2,1,0.08,340,74,37.66,72,136,740,,12,0.86,,0.5,6,0.95,45.82,3.2
4692,Lakes & Tanks ,"Ramanthapur Cheruvu, Medchal-Malkajigiri District.",Lake sample were not collected as there wasno acess to collect water in the lake.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4693,Lakes & Tanks ,"Patel Cheruvu, Madeenaguda, Miyapur",2.2,7.2,1051,6,2.63,,17,350,Less than 1.8,,,,10.2,5,208,126,59,1.5,0.4,Less than 0.01,255,64,23.09,74,102,660,,12,0.67,,0.5,10,0.87,45.18,2.77
4694,Lakes & Tanks ,Mundla Katwa Lake,"4237 & 4694 BOTH ARE SAMPLE i.e., OLD 4237 DATA HAS TO BE TAKEN (4694 TO REPLACE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,Lakes & Tanks ,"Khaja Kunta, Kukatpally (V)",Lake sample were not collected as there wasno acess to collect water in the lake.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes & Tanks ,"Parki Cheruvu, Kukatpally (V), Balanagar",3.8,7.66,1043,23,11,0.02,Less than 1.8,13,,,,,6,24,332,105,61,19,8,0.2,276,70,24,43,109,578,,12,4,,0.5,13,0.52,45,2.9
4697,Lakes & Tanks ,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",Lake sample were not collected as lake  was dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes & Tanks ,"Mannevari Kunta, Machabollaram (V), Alwal",1.6,7.36,1146,9,1.93,,34,240,Less than 1.8,,,,8.6,5,260,170,96,1.5,0.4,Less than 0.01,295,60,35.23,88,112,722,,14,0.66,,0.5,12,1.13,43.82,2.83
4699,Lakes & Tanks ,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",1.2,7.03,590,3,0.37,,34,280,Less than 1.8,,,,14.4,5,110,78,40,1.5,0.4,Less than 0.01,125,28,13.37,54,68,366,,14,0,,0.5,6,0.88,52.57,2.64
4700,Lakes & Tanks ,"Large tank, Saroornagar, Rangareddy District.",0.3,7.16,1434,10,0.62,,63,280,Less than 1.8,,,,14.8,5,285,184,82,1.5,0.4,Less than 0.01,310,66,35.23,92,152,860,,14,0.98,,0.5,8.2,0.96,50.62,3.74
4701,Lakes & Tanks ,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",1.2,7.34,1186,6,1.76,,15,170,Less than 1.8,,,,18.2,5,257,142,81,1.5,0.4,Less than 0.01,272,51,35,92,113,747,,23,0.75,,0.5,10,1.1,46.19,2.97
4702,Lakes & Tanks ,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",4,7.46,1053,11,40,0.02,49,240,Less than 1.8,,,,,5,284,107,48,4,0.4,Less than 0.01,348,97,26,28,113,632,537,16,2.88,,0.5,10,0.09,40.32,2.62
4703,Lakes & Tanks ,Bulbubu kunta,0.3,7.09,1813,16,1.36,,110,430,Less than 1.8,,,,11.2,5,460,232,120,12,2.8,0.02,397,83,46,162,196,1124,,16,2.68,,0.5,8,1.06,43.57,3.66
4704,Lakes & Tanks ,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",3.2,6.87,744,6,0.3,,17,350,Less than 1.8,,,,8.5,5,158,88,42,1.5,0.4,Less than 0.01,180,32,24.3,56,74,456,,12,0.92,,0.5,4,0.86,46.33,2.39
4705,Lakes & Tanks ,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",0.3,7.15,1700,11,18.86,,11,350,Less than 1.8,,,,9.2,5,370,196,94,6,1.2,0.01,415,84,49.81,98,154,1072,,15,0.98,,0.5,12,1.26,43.61,3.28
