Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
3080,River Godavari,U/s of Karakavagu at Paloncha,5.2,7.88,510,3,1.4,,Less than 1.8,20,,,,8,BDL,155,72,16,4,,165,38,17.01,18,50,336,,4,0.06,,0.09,2,0.13,39.22,1.69
3081,River Godavari,D/s of Karakavagu at Paloncha,4.8,8.02,667,4,2.1,,10,32,,,,9.62,BDL,180,88,22,4,,230,46,27.95,32,50,410,,8,0.08,,0.14,4,0.8,31.48,1.43
2349,River Godavari,Nakka vagu at Bachugudem,1.8,7.27,1450,7.2,18,0.37,Less than 1.8,63,,,,25,16,260,152,38,7.2,0.04,268,48,36,46,92,890,624,42,,0.49,0.09,4,0.27,42.09,2.43
1784,River Krishna,River Krishna at Thangadi,5.1,8,920,3,0.86,,Less than 1.8,13,,,,8,BDL,165,124,12,4,,190,38,23.09,105,120,620,,7,0.42,,0.09,4,0.6,57.06,3.77
39,River Krishna,River Krishna at Gadwal bridge,4.8,7.88,982,3,2.4,,Less than 1.8,32,,,,10,BDL,180,178,12,4,,195,32,27.95,88,152,640,,10,0.66,,0.09,4,0.71,62.11,4.72
4225,River Krishna,"Jogulamba Temple, Gadwal",4.6,8.02,880,3,2,,Less than 1.8,32,,,,7.93,BDL,185,154,14,4,,190,36.8,23.81,64,130,592,,9,0.08,,0.09,3,0.62,59.16,4.09
4259,River Krishna,Nagarjuna Sagar Dam Spill way,7.6,7.35,405,3,6,0.38,Less than 1.8,12,,,,6,20,84,40,12,4,0.02,112,22,14,32,18,254,184,8,,0.32,0.09,5,0.32,24.63,0.74
1465,River Krishna,Confluence of River krishna & River musi at at wadapally,6.3,7.22,850,2.3,8,0.41,Less than 1.8,40,,,,10,12,154,58,10,4,0.02,174,40,18,42,30,530,365,22,,0.59,0.09,8,0.36,26.04,0.99
4252,River Krishna,"Udaya Samudram balancing Reservoir,",6.4,7.31,400,2.1,5,0.43,Less than 1.8,25,,,,2,16,110,56,12,4,0.02,118,24,14,24,30,252,182,20,,0.36,0.09,7,0.28,33.87,1.2
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,0.05,7.1,1410,28,2.42,,48,540,,,,16,BDL,305,220,120,4,,350,74,40.09,82,162,842,,22,2,,0.32,4,0.7,49.65,3.75
2339,River Musi,River Musi at Nagole,0.05,7.8,1380,26,10.23,,26,350,,,,20,BDL,360,158,172,4,,380,76,46.17,102,140,892,,38,1.2,,0.26,8,1.08,43.67,3.11
1173,River Musi,D/s. of Musi at Pratapasingaram,0.05,7.68,1440,26,5.02,,23,280,,,,20,BDL,335,192,182,4,,350,78,37.66,80,158,860,,50,1.86,,0.4,4,2,49.03,3.66
4254,River Musi,River Musi sample at Rudravelly bridge,6.9,7.26,1650,2.7,20,0.37,3,84,,,,7,36,320,194,30,9.7,0.03,412,86,48,52,102,1025,750,25,,0.4,0.09,17,0.39,33.67,2.18
3082,River Musi,River Musi at Solipet (Kasaniguda),6.4,7.13,1435,3.4,18,0.39,4,52,,,,20,40,260,172,36,6.8,0.03,344,68,42,45,92,862,605,36,,0.5,0.09,12,0.32,35.69,2.15
1391,GHMC Areas Lakes /Tanks/ Cheruvus,Hussain sagar Lake,2,7.62,1496,10,4.32,,26,240,,,,20,BDL,360,190,82,4,,395,84,44.95,109,160,884,,14,2.2,,0.2,4,0.84,46.36,3.49
3071,GHMC Areas Lakes /Tanks/ Cheruvus,Langarhouse lake,0.05,7.86,1446,24,3.46,,43,430,,,,18,BDL,375,190,98,4.2,,390,72,51.03,76,154,860,,28,2.4,,0.3,6,0.89,45.54,3.38
2341,GHMC Areas Lakes /Tanks/ Cheruvus,Miralam tank,2,7.68,1680,18,3.46,,32,350,,,,14,BDL,405,240,130,4,,420,84,51.03,88,190,982,,26,2.2,,0.22,4,0.9,49.13,4.02
3073,GHMC Areas Lakes /Tanks/ Cheruvus,"Hasmathpet lake, Hasmathpet",0,7.8,1520,20,9.2,,25,430,,,,16,BDL,345,198,102,4.8,,370,76,43.74,132,180,942,,20,1.4,,0.22,6,1.6,50.74,4.06
3072,GHMC Areas Lakes /Tanks/ Cheruvus,Safilguda lake,0,7.6,1762,28,4.2,,22,430,,,,12,BDL,440,210,148,4,,480,96,58.32,144,188,1090,,16,2.65,,0.2,4,0.68,45.57,3.72
3075,GHMC Areas Lakes /Tanks/ Cheruvus,Rangadhamuni cheruvu,1,7.52,1620,20,2.6,,23,540,,,,20,BDL,435,172,152,4,,496,112,52.49,126,146,972,,30,2.6,,0.3,6,0.62,38.53,2.84
3076,GHMC Areas Lakes /Tanks/ Cheruvus,"Amber cheruvu, Kukatpally",0.05,7.62,1680,28,4.63,,26,430,,,,28,BDL,425,214,168,4.4,,465,74,68.04,102,168,1080,,38,0.82,,0.34,8,0.92,43.27,3.37
