Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Orthophosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium (Cd),Copper (Cu),Lead (Pb),Total Chromium (T. Cr),Nickel (Ni),Zinc (Zn),Iron (Fe)
3086, Lakes /Tanks/ Cheruvus,Saki Tank,6.5,7.48,1769,3,28,0.48,Less than 1.8,32,5,0.8, NA,26,24,296,178,18,8,2,344,70,41,52,95,1056,725,21,,0.65,0.09,16,0.53,36.29,2.2,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
3068, Lakes /Tanks/ Cheruvus,Ramappa lake,5,7.86,320,2,0,,Less than 1.8,24,,,,6,BDL,120,26,15,4,,125,26,14.58,10,18,198,,8,0.1,,0.09,2,0.2,23.47,0.49,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.06,0.07
1447, Lakes /Tanks/ Cheruvus,Dharmasagar tank,5.2,7.84,339,3,0.2,,Less than 1.8,35,,,,8,BDL,120,34,20,4,,125,24,15.79,12,26,214,,8,0.16,,0.09,2,0.7,30.7,0.71,,Less than 0.003,0.03,0.14,Less than 0.005,Less than 0.012,0.09,0.1
2346, Lakes /Tanks/ Cheruvus,Bhadrakali tank,5.4,8.8,482,3,0,,Less than 1.8,22,,,,8,10,120,72,14,4,,150,26,20.66,12,38,298,,8,0.12,,0.09,2,0.28,35.13,0.95,,Less than 0.003,0.01,0.06,Less than 0.005,Less than 0.012,0.04,0.37
3084, Lakes /Tanks/ Cheruvus,"Waddepally tank, Kazipet",5,7.82,560,3,0.5,,Less than 1.8,58,,,,10,BDL,118,90,18,4,,195,38,24.3,36,40,364,,6,0.08,,0.09,2,0.42,30.56,0.88,,Less than 0.003,0.04,0.08,Less than 0.005,Less than 0.012,0.2,0.39
3085, Lakes /Tanks/ Cheruvus,Chinnawaddepally tank,3.1,7.89,1629,14,0.98,,58,350,,,,12,BDL,265,286,178,2.4,,290,66,30.38,124,230,1012,,40,0.72,,0.22,6,1.08,62.68,4.15,,Less than 0.003,Less than 0.004,0.04,Less than 0.005,Less than 0.012,0.02,0.32
2343, Lakes /Tanks/ Cheruvus,Premajipet tank,0.1,7.2,5024,26,12.2,,130,540,,,,36,BDL,1220,680,220,5.2,,1465,260,198.04,298,460,3220,,62,3.2,,0.2,8,1,40.4,3.69,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,0.03,Less than 0.005
2345, Lakes /Tanks/ Cheruvus,Sai Cheruvu,0.1,7.48,11860,192,11.22,,120,540,,,,42,BDL,610,2982,783,8.4,,620,128,72.9,928,2364,7284,,62,0.6,,0.28,18,1,88.88,29.19,,Less than 0.003,0.03,0.08,Less than 0.005,Less than 0.012,0.1,0.05
4222, Lakes /Tanks/ Cheruvus,"Koneru, Kondagattu temple, Jagitiyal",2,7.46,940,10,4.4,,14,280,,,,14,BDL,225,112,52,4,,315,68,35.23,70,66,582,,18,0.46,,0.09,2,1.2,31.12,1.14,,Less than 0.003,0.01,0.14,Less than 0.005,Less than 0.012,0.14,0.44
4223, Lakes /Tanks/ Cheruvus,"Vemulawada temple Koneru , Karimnagar",1.5,7.52,1300,18,1.2,,26,240,,,,16,BDL,260,212,142,4,,280,84,17.01,82,168,816,,18,0.32,,0.09,4.4,0.8,56.11,3.09,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.04,0.21
4228, Lakes /Tanks/ Cheruvus,"Ibrahim Cheruvu, Rajendra Nagar",Sample was not collected as the tank was in dry condition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.43,2.79,,,,,,,,
4230, Lakes /Tanks/ Cheruvus,Kistaipally Cheruvu,5.2,6.78,7190,20,18,0.63,Less than 1.8,58,4.6,0.4, NA,17,32,564,932,70,14,2.4,1274,256,154,112,253,4210,2904,29,,0.67,0.09,69,0.45,28.85,3.1,BDL,BDL,BDL,BDL,BDL,BDL,BDL,7.29
