Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,DRIED UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Jayashankar Bhoopalpalli,5,8.81,745,1.8,2.2,,Less than 1.8,32,Less than 1.8,,,,14,15,210,86,32,1.5,0.4,,190,98,92,39.2,22.36,45,#,468,,38,0.64,,0.5,#,0.73,,
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,6,8.07,709,1.8,2.2,,Less than 1.8,38,Less than 1.8,,,,6,5,164,88,32,1.5,0.4,,184,94,90,37.6,21.87,52,#,426,,10,0.43,,0.5,#,0.42,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,7.3,7.32,640,3.8,22,0.06,3.6,20,Less than 1.8,,,,4.8,28,130,82,40,12,,,190,110,80,44,19,38,22,372,260.4,10,,0.11,BDL,3.2,0.32,19.84,0.64
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,6.1,7.52,655,2.2,20,0.04,4.5,32,3.6,,,,3.4,12,130,84,36,10,,,215,135,80,54,20,52,15,393,275.1,8,,0.1,BDL,3.5,0.31,12.77,0.39
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,5.9,7.49,672,2.5,22,0.05,8.2,40,3.7,,,,3.5,20,140,88,32,12,,,230,140,90,56,22,55,18,403.2,282.24,8,,0.13,BDL,3.2,0.41,14.23,0.46
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,6.2,7.69,905,2,20,0.05,8.1,32,5.6,,,,3.8,24,155,148,32,10,,,340,205,135,82,33,84,23,543,380.1,7,,0.15,BDL,3.3,0.35,12.6,0.49
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,5.9,7.68,1402,2.5,24,0.12,6.1,40,4,,,,3.5,12,250,218,42,8,,,505,265,240,106,58,96,35,841.2,588.84,8,,0.12,BDL,4.2,0.72,12.94,0.66
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,4.9,7.32,1302,3.5,36,0.11,8.2,94,7.8,,,,4.3,28,220,192,48,10,,,405,225,180,90,44,89,42,745,521.5,10,,0.15,BDL,4.5,0.15,18.07,0.86
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,6.2,7.16,877,2.2,24,0.14,4,79,1.8,,,,3.3,16,165,105,36,10,,,260,170,90,68,22,62,25,510,357,9,,0.19,BDL,3.2,0.42,16.98,0.59
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,6.2,7.81,435,1.4,2.2,,Less than 1.8,32,Less than 1.8,,,,5,5,122,44,12,1.5,0.4,,106,68,38,27.2,9.23,26,#,256,,18,0.2,,0.5,#,0.53,,
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,6.2,7.18,412,1,1.62,,Less than 1.8,24,Less than 1.8,,,,4,5,112,36,16,1.5,0.4,,155,80,75,32,18.22,32,#,266,,10,0.24,,0.5,#,0.59,,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,6.1,7.51,408,1.6,1.88,,Less than 1.8,26,Less than 1.8,,,,5,5,92,62,36,1.5,0.4,,122,80,42,32,10.21,20,#,238,,10,0.32,,0.5,#,0.62,,
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,"sample was not submitted by RO,Hyderabad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0039,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,"sample was not submitted by RO,Hyderabad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,"sample was not submitted by RO,Hyderabad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,7.2,7.75,810,2.4,24,0.12,4,24,3.6,,,,3.5,16,210,105,40,12,,,270,170,100,68,24,75,33,486,340.2,8,,0.21,BDL,4.7,BDL,20.63,0.77
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,6.2,7.42,811,2.5,26,0.11,7.8,40,3.6,,,,3.6,12,150,107,17,8,,,240.0,150.0,90,60.0,22,60,32,486.6,340.62,7,,0.22,BDL,5.1,BDL,21.89,0.79
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,5.9,7.33,1263,2.1,20,0.26,9.2,31,5.5,,,,3.8,12,230,179,25,10,,,400.0,220,180.0,88,43.74,82,31,725,507.5,7,,0.13,BDL,5.4,0.24,14.14,0.64
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,6.3,7.58,1319,2.4,25,0.21,6.8,40,4.5,,,,3.9,16,250,169,30,12,,,395.19,210,185.19,84,45,90,35,755,528.5,9,,0.14,BDL,6.4,0.68,15.79,0.74
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,6.1,7.5,672,1.8,2.2,,Less than 1.8,46,Less than 1.8,,,,8,5,162,84,24,1.5,0.4,,164,86,78,34.4,18.95,36,#,386,,10,0.45,,0.5,#,0.59,,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,6.1,7.32,802,1.6,2,,Less than 1.8,26,Less than 1.8,,,,6,5,182,104,32,2.24,0.45,,204,114,90,45.6,21.87,46,#,486,,12,0.53,,0.5,#,0.72,,
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),Nalgonda,6.3,7.53,1124,2,21,0.13,6.1,38,4,,,,3.5,24,230.0,124,21,8,,,330,200,130,80,31,86,39,640,448,7,,0.16,BDL,4,0.12,20.23,0.84
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),Nalgonda,6.6,7.3,1266,2.2,24,0.14,5.6,38,3.6,,,,3.3,20,230,175,20,8,,,360.0,210.0,150,84.0,36,66,38,705,493.5,9,,0.1,BDL,4.2,0.31,18.44,0.8
