Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium %,SAR
2343,Lakes & Tanks ,Premajipet tank,Less than 0.1,7.14,3892,32,16.4,Not Analysed,36,420,,,,20,Less than 1,572,798,264,7.8,Not Analysed,Not Analysed,630,124,77.76,202,590,2548,,30,1,Not Analysed,1,2.8,1.2,66.8,10.19
2345,Lakes & Tanks ,Sai Cheruvu,Less than 0.1,7.86,5530,38,10.2,Not Analysed,28,320,,,,26,Less than 1,650,1202,375,7.6,Not Analysed,Not Analysed,805,136,112.99,438,920,3428,,36,3.6,Not Analysed,0.38,4,0.9,71.02,14.05
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",2,7.67,1332,10,4.2,Not Analysed,14,320,,,,14,Less than 1,300,190,86,2.6,Not Analysed,Not Analysed,338,74,37.18,92,152,842,,14,2.34,Not Analysed,Less than 0.01,6,0.6,48.73,3.58
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",2.1,7.42,1290,12,4.8,Not Analysed,26,350,,,,18,Less than 1,295,192,90,2.3,Not Analysed,Not Analysed,360,76,41.31,96,140,824,,16,1.94,Not Analysed,Less than 0.01,5,0.6,45.23,3.2
4228,Lakes & Tanks ,"Ibrahim Cheruvu, Rajendra Nagar",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230,Lakes & Tanks ,Kistaipally Cheruvu,5.8,7.31,2325,2.8,18,0.43,Less than 2,58,,,,24,32,296,244,28,5.3,Less than 1,Less than 0.01,437.11,86,54,27,78,1309,947,26,Not Analysed,0.26,0.05,18,0.18,26.8,1.62
4231,Lakes & Tanks ,"Rayam Cheruvu,",5.4,7.25,458,3,4,0.38,Less than 2,38,,,,14,12,97,58,18,3.4,Less than 1,Less than 0.01,140.8,30,16,16,17,256,189,19,Not Analysed,0.29,Less than 0.01,3,0.23,20.25,0.62
4232,Lakes & Tanks ,"Komati Cheruvu,",5.8,7.15,900,2.6,8,0.35,Less than 2,47,,,,18,20,254,130,40,7.6,Less than 1,Less than 0.01,304.55,56,40,20,48,578,431,17,Not Analysed,0.32,0.03,8,0.32,24.77,1.19
4235,Lakes & Tanks ,Lake Kamuni( Shamshabad Lake),Less than 0.1,7.86,1602,26,6.8,Not Analysed,26,430,,,,25,Less than 1,265,290,96,2.8,Not Analysed,Not Analysed,430,104,41.31,126,173,996,,16,1.8,Not Analysed,Less than 0.01,4,0.4,46.24,3.62
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",4.6,7.29,6100,6,32,0.46,Less than 2,70,,,,39,40,316,1187,64,12.1,Less than 1,Less than 0.01,1577.16,376,155,64,183,3498,2618,37,Not Analysed,0.38,0.08,39,0.17,19.56,2.0
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",5,7.38,1330,4.2,11,0.31,3,170,,,,31,24,258,188,52,9.8,Less than 1,Less than 0.01,382.44,74,48,21,54,749,542,25,Not Analysed,0.36,0.03,6,0.21,23.01,1.2
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",5.4,7.32,1433,3,11,0.28,4,110,,,,22,28,244,184,35,6.6,Less than 1,Less than 0.01,337.76,66,42,20,65,817,598,24,Not Analysed,0.33,0.04,8,0.25,28.75,1.53
4244,Lakes & Tanks ,"Erdanoor Tank,",Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,Lakes & Tanks ,"Mallepally Tank,",5.4,7.12,3013,4.4,22,0.58,Less than 2,70,,,,19,36,484,412,46,8.7,Less than 1,Less than 0.01,730.19,144,90,32,107,1750,1269,23,Not Analysed,0.34,0.05,18,0.19,23.48,1.72
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",2.2,8,900,12,2.2,Not Analysed,10,350,,,,22,Less than 1,265,97,58,1.2,Not Analysed,Not Analysed,295,64,32.8,42,70,540,,12,1,Not Analysed,0.22,2,0.4,33.71,1.77
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",Less than 0.1,7.03,995,10,2.2,Not Analysed,Less than 2,24,,,,20,Less than 1,238,144,78,2.6,Not Analysed,Not Analysed,230,66,15.79,66,126,604,,26,2.4,Not Analysed,0.38,10,0.9,52.93,3.61
4229,Lakes & Tanks ,Neknampur Lake,Less than 0.1,7.62,1982,30,5.8,Not Analysed,32,350,,,,14,Less than 1,440,272,126,4.2,Not Analysed,Not Analysed,550,114,64.39,140,192,1360,,14,1.32,Not Analysed,0.32,6,1,42.66,3.55
4249,Lakes & Tanks ,"Rangasamudram, Warangal",Less than 0.1,8.04,1231,18,3.2,Not Analysed,32,430,,,,26,Less than 1,290,170,124,0.3,Not Analysed,Not Analysed,320,64,38.88,82,138,834,,18,0.92,Not Analysed,0.3,3,1,47.94,3.34
4661,Lakes & Tanks ,Peddakanjarla Tank,Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666,Lakes & Tanks ,Ismailkhanpet Tank,Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4670,Lakes & Tanks ,"Bairamalaguda Cheruvu, Medchal-Malkajigiri District.",Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
