Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4682,Lakes & Tanks ,Bandham Cheruvu,Warangal,Warangal,2,8.07,851,6,0.78,,11,140,6,,,,,5,210,88,48,5,0.1,Less than 0.01,260,67.2,22.36,46,54,474,320,18,0.2,,0.1,5.06,0.75,30.49,1.45
4688,Lakes & Tanks ,"Narinja River, Kothur - B (V), Zaheerabad",Sangareddy,Sangareddy,5.9,7.36,610,3,5,0.13,8.1,39,6.8,,,,17,20,140,76,31,5.6,0.1,Less than 0.01,180,38,22,9,24,357,250,11,,0.14,0.1,5,0.13,21.27,0.76
1391,Lakes & Tanks ,Hussain sagar Lake,Hyderabad,Hyderabad,0.9,7.52,1410,8,13.2,,120,540,63,,,,,5,320,140,72,5,0.4,,240,62,20.66,120,172,820,610,20,1,,0.1,18,1.09,58.6,4.82
3071,Lakes & Tanks ,Langarhouse lake,Hyderabad,Hyderabad,0.3,7.44,1502,9,4.42,,110,350,54,,,,,5,340,180,84,5.4,3.4,0.05,355,80,37.66,115,158,856,603,12,0.46,,0.1,21,0.48,47.22,3.64
2341,Lakes & Tanks ,Miralam tank,Hyderabad,Hyderabad,2.1,7.26,1398,6,3.91,,58,280,Less than 1.8,,,,,5,305,186,72,5,0.58,Less than 0.01,330,84,29.16,96,152,796,572,24,0.21,,0.1,14,0.93,48.6,3.63
3073,Lakes & Tanks ,"Hasmathpet lake, Hasmathpet",Medchal Malkajgiri,Rangareddy - II,0.3,7.54,1685,9,7.01,,63,430,10,,,,,5,325,212,92,5.4,0.32,Less than 0.01,355,84,35.23,132,184,976,728,28,0.8,,0.1,4,0.35,52.5,4.24
3072,Lakes & Tanks ,Safilguda lake,Medchal Malkajgiri,Rangareddy - II,0.3,7.67,1865,13,7.92,,43,430,11,,,,,5,365,242,132,5,3.1,0.08,400,96,38.88,152,202,1098,744,41,0.66,,0.1,28,1.08,50.07,4.38
3075,Lakes & Tanks ,Rangadhamuni cheruvu,Medchal Malkajgiri,Rangareddy - II,0.3,7.32,1679,11,7.04,,33,430,20,,,,,5,335,222,112,5,0.13,Less than 0.01,355,84,35.23,132,184,970,683,59,0.56,,0.1,24,0.42,50.79,4.24
3076,Lakes & Tanks ,"Amber cheruvu, Kukatpally",Medchal Malkajgiri,Rangareddy - II,Sample was Not Collected due to No access to collect sample,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
3077,Lakes & Tanks ,"Kapra cheruvu, Kapra",Medchal Malkajgiri,Rangareddy - II,0.6,7.56,1583,8,1.09,,22,280,6,,,,,5,335,220,81,5,0.2,Less than 0.01,360,88,34.02,128,182,922,521,22,0.46,,0.1,14,0.54,51.03,4.16
2357,Lakes & Tanks ,Durgam cheruvu,RR-shamshabad,Hyderabad,2.4,7.82,944,6,1.53,,21,350,Less than 1.8,,,,,5,210,124,62,5,0.1,Less than 0.01,235,60,20.66,106,112,578,392,34,0.32,,0.1,14,0.92,48.94,3.17
2344,Lakes & Tanks ,Nalla cheruvu,Medchal Malkajgiri,Rangareddy - II,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
