Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
4237,Lakes & Tanks ,Mundla Katwa Lake,Medchal Malkajgiri,0.3,7.32,971,2,1.8,,17,540,1.8,N.A,N.A,N.A,5.2,5,240,98,34,3.36,0.68,0.01,230,150,60,80,19.44,58,,592,,18,3.17,,0.5,,0.88,,,,,,,,,,
4667,Lakes & Tanks ,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",Hyderabad,0.3,8.11,1178,1.8,3.6,,13,430,3.6,N.A,N.A,N.A,6.8,5,260,181,25,5.6,1.48,0.08,340,230,92,110,26.73,116,,742,,16,0.41,,0.5,,0.95,,,,,,,,,,
4668,Lakes & Tanks ,"Chinnarayan Cheruvu, Alwal (V)",Medchal Malkajgiri,Lake sample was not coolected as there was no access to collect sample dueto growth of water hyacinth throught the water body.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4669,Lakes & Tanks ,"Pedda Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",Rangareddy,1,7.39,819,2,3.2,,6.8,430,2,N.A,N.A,N.A,8.8,5,160,122,30,1.5,0.4,0.01,210,130,52,80,19.44,81,,508,,14,1.22,,0.5,,0.89,,,,,,,,,,
4671,Lakes & Tanks ,"Medi Kunta, Guttala begumpet (V)",Rangareddy,2.8,7.31,662,2,3.2,,10,350,4,N.A,N.A,N.A,9.2,5,152,67,16,1.5,0.4,0.01,210,130,52,80,19.44,42,,404,,10,0.48,,0.5,,0.98,,,,,,,,,,
4672,Lakes & Tanks ,"Medi Kunta (Wipro Lake), Nanakramguda",Rangareddy,3.2,7.42,721,2.2,4,,9.1,430,2,N.A,N.A,N.A,7.2,5,165,76,24,1.5,0.4,0.01,175,110,44,65,15.79,42,,446,,10,0.48,,0.5,,1,,,,,,,,,,
4673,Lakes & Tanks ,Medikunta lake (BK Enclave),Rangareddy,3.2,7.28,497,1,2.8,,4,430,2,N.A,N.A,N.A,6.6,5,110,55,8,1.5,0.4,0.0,190,115,46,75,18.22,30,,298,,10,0.31,,0.5,,0.96,,,,,,,,,,
4674,Lakes & Tanks ,"Meedi Kunta, Hafeezpet (V), Serlingampally",Rangareddy,4.8,7.55,501,1.2,3.8,,3.8,430,1.8,N.A,N.A,N.A,7.4,5,95,68,16,1.5,0.4,0.01,250,160,64,90,21.87,40,,306,,10,0.69,,0.5,,0.92,,,,,,,,,,
4676,Lakes & Tanks ,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",Medchal Malkajgiri,2,6.96,792,1.8,3.3,,14,430,3.6,N.A,N.A,N.A,6.2,5,185,85,26,2.24,0.4,0.0,180,110,44,70,17.01,49,,484,,10,2.16,,0.5,,0.96,,,,,,,,,,
4677,Lakes & Tanks ,"Lingam Cheruvu, Suraram (V), Quthubullapur",Medchal Malkajgiri,0.3,6.94,1146,4,3.86,,11,540,2,N.A,N.A,N.A,8.6,5,255,160,43,5.6,2.04,0.01,280,178,71.2,102,24.79,106,,720,,16,2.76,,0.5,,0.92,,,,,,,,,,
4678,Lakes & Tanks ,"Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",Rangareddy,0.3,7.25,1013,3,3.2,,17,430,3.6,N.A,N.A,N.A,7.2,5,235,115,40,4.48,1.12,0.01,245,155,62,90,21.87,72,,628,,14,1.38,,0.5,,0.98,,,,,,,,,,
4679,Lakes & Tanks ,HUDA Park Lake,Rangareddy,0.3,7.36,1908,4,5.2,,24,540,6.1,N.A,N.A,N.A,16.2,5,470,243,40,6.72,3.24,0.05,480,296,118.4,184,44.71,153,,1202,,28,3.12,,0.5,,1.18,,,,,,,,,,
4683,Lakes & Tanks ,"Pedda cheruvu, Madikonda",Warangal,3.3,8.35,728,2,1.86,,2,280,2,N.A,N.A,N.A,5.7,10,150,91,28,1.5,0.4,0.05,235,155,62,80,19.44,54,,452,,10,0.77,,0.5,,0.72,,,,,,,,,,
4684,Lakes & Tanks ,Campus Lake Icrisat,Sangareddy,6,7.98,432,4,5,0.12,6,79,5.6,,,,16,20,150,49,36,10,0.4,0.01,140,100,40,40,9,10,8,280.8,199.37,10,,0.14,0.5,2,0.41,11.05,0.23,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.16
4685,Lakes & Tanks ,Surisigal Lake Icrisat,Sangareddy,6.1,7.84,875,3,5,0.13,6.1,120,6.8,,,,14,18,165,128,28,10,0.4,0.01,280,160,64,120,29,40,15,568.75,403.81,10,,0.13,0.5,6,0.4,10.15,0.31,BDL,BDL,BDL,BDL,BDL,BDL,0.02,BDL
