Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4231,Lakes  & Tanks,"Rayam Cheruvu, Bonthapally (V), Gummadidala (M), Sangareddy District",Sangareddy,5.3,7.68,1486,3.4,6,0.17,6.3,31,4.5,,,,30,24,248,144,37,6.7,0.4,0.01,377.53,180,72,197.53,48,28,47,798,550.62,16,,0.11,0.5,5,0.36,21.05,1.05
4232,Lakes  & Tanks,"Komati Cheruvu, Siddipet Town, Siddipet District.",Siddipet,5.8,7.45,816,2.8,8,0.08,3.7,48,2,,,,14,12,168,102,31,5.6,0.4,0.01,268.15,120,48,148.15,36,18,29,466,293.58,10,,0.14,0.5,5,0.34,18.71,0.77
4235,Lakes  & Tanks,"Kamuni Cheruvu, Shamshabad (V&M), Rangareddy District",RR-shamshabad,4.2,8.09,1119,2.6,3.4,,17,540,8.1,,,,23,5,260,167,36,4.46,0.56,0.04,288,168,67.2,120,29.16,103,,704,,46,2.22,,0.5,,0.78,,
4233,Lakes  & Tanks,"Gaddapotharam cheruvu, Gaddapotharam (V), Jinnaram (M), Sangareddy District",Sangareddy,5.5,7.6,4170,16,14,0.2,12,94,7.8,,,,36,32,572,486,98,18.4,0.4,0.01,1032.59,440,176,592.59,144,67,128,2376.9,1521.22,18,,0.2,0.5,23,0.42,20.8,1.73
4238,Lakes  & Tanks,"Ameenpur Cheruvu, Ameenpur (V & M), Sangareddy District",Sangareddy,5.7,7.42,1310,3.5,9,0.17,14,63,9.1,,,,12,16,268,146,40,7.2,0.4,0.01,423.99,210,84,213.99,52,40,41,742,482.3,13,,0.13,0.5,8,0.49,17.06,0.87
4239,Lakes  & Tanks,"Mahaboobsagar Tank, Sangareddy(V&M), Sangareddy District",Sangareddy,6.1,7.8,1083,3.8,7,0.09,6.8,70,5.5,,,,15,5,192,106,44,7.8,0.4,0.01,298.15,150,60,148.15,36,27,32,620,409.2,10,,0.05,0.5,6,0.4,18.56,0.81
4244,Lakes  & Tanks,"Erdhanoor Tank, Erdhanoor (V), Patancheru (M), Sangareddy District",Sangareddy,6,7.87,1525,2.6,6,0.08,9.1,43,6.3,,,,10,12,204,144,23,3.9,0.4,0.01,351.07,170,68,181.07,44,31,40,856,590.64,12,,0.13,0.5,5,0.35,19.6,0.93
4245,Lakes  & Tanks,"Mallepally Tank, Mallepally (V), Kondapur (M), Sangareddy District",Sangareddy,6.7,7.86,1357,2.3,9,0.15,13,47,5.5,,,,14,8,196,142,19,3.3,0.4,0.01,347.84,175,70,172.84,42,27,37,786,487.32,10,,0.17,0.5,3,0.4,18.64,0.86
4247,Lakes  & Tanks,"Mucharla Nagaram cheruvu, Nagaram (V), Hasanparthy (M), Hanumakonda , Warangal",Warangal Urban,4.1,8.01,749,2.2,4.86,,11,430,2,,,,14,5,170,96,28,2.24,0.4,0.02,178,106.0,42.4,72,17.5,56,,472,,10,0.88,,0.5,,0.71,,
4248,Lakes  & Tanks,"Koti Cheruvu, Mulugu Road, Warangal, Warangal District",Warangal Urban,2.2,7.7,950,4,1.48,,9,210,Less than 1.8,,,,8.66,5,205,127,68,3.36,0.4,0.01,226,138,55.2,88,21.38,38,,580,,11,0.76,,0.5,,0.83,,
