Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
3076,Lakes  & Tanks,"Amber cheruvu, Kukatpally (V & M), Medchal- malkajigiri",Medchal Malkajgiri,0.3,7.15,1170,10,3.5,,24,540,6,,,,14,5,225,149,161,8.4,2.86,,276,142,56.8,134,32.56,88,,724,,22,1.89,,0.5,,0.93,,,,0.0,0.0,0.0,0.0,0.02,0.02,0.32
3077,Lakes  & Tanks,"Kapra cheruvu, Kapra (V), Keesara (M)",Medchal Malkajgiri,1.5,8.15,956,5,3.6,,6.1,350,2,,,,6,5,165,140,88,5.6,0.74,,228,130,52,98,23.81,82,,584,,13,1.06,,0.5,,0.99,,,,0.0,0.0,0.01,0.01,0.03,0.03,0.52
2357,Lakes  & Tanks,"Durgam cheruvu , Raidurg (V), Serilingampally (M), Rangareddy (D)",RR-shamshabad,2.4,6.65,844,4.8,3.1,,6.1,430,2,,,,9,5,180,137,66,5.6,0.74,,212,112,44.8,100,24.3,79,,542,,14,2.18,,0.5,,0.79,,,,0.0,0.0,0.02,0.0,0.03,0.04,0.07
2344,Lakes  & Tanks,"Nalla cheruvu, Uppal (V & M), Medchal District",Medchal Malkajgiri,0.3,7.98,1788,14,6.6,,32,920,14,,,,12,5,320,255,227,12.6,3.96,,462,260,104,202,49.09,146,,1172,,22,3.26,,0.5,,1.1,,,,0.0,0.0,0.03,0.0,0.02,0.03,0.02
2359,Lakes  & Tanks,"Pedda Cheruvu, Nacharam (V), Uppal (M), Medchal District",Medchal Malkajgiri,0.3,7.43,1122,6,3.7,,14,540,6.1,,,,16,5,240,159,86,9.8,2.24,,310,150,60,160,38.88,92,,702,,28,2.89,,0.5,,0.98,,,,0.0,0.0,0.0,0.0,0.02,0.02,0.02
2342,Lakes  & Tanks,"Noor Md. Kunta, Shamshabad",RR-shamshabad,0.3,6.99,1854,8,6.8,,14,540,8.1,,,,7,5,385,252,104,11.2,3.84,,418,225,90,193,46.9,148,,1130,,16,3.38,,0.5,,1.02,,,,0.0,0.01,0.04,0.03,0.06,0.07,0.2
3070,Lakes  & Tanks,"Fox sagar, Jeedimetla (V), Qutubullapur (M), Medchal Malkajgiri (D)",Medchal Malkajgiri,0.3,8.15,1149,8,3.6,,9.3,430,3.6,,,,5,5,215,176,110,5.6,0.84,,286,120,48,166,40.34,110,,712,,11,2.16,,0.5,,0.69,,,,0.0,0.0,0.02,0.02,0.03,0.03,0.07
3074,Lakes  & Tanks,"Banjara Lake (Anantagani kunta), Banjara Hills, Hyderabad",Hyderabad,0.3,7.8,1232,14,3.4,,24,540,6,,,,8,5,225,145,188,8.4,2.96,,282,135,54,147,35.72,90,,740,,17,2.49,,0.5,,0.84,,,,0.0,0.0,0.03,0.04,0.04,0.07,0.47
4224,Lakes  & Tanks,"Yadadri temple- Koneru, Yadadrigutta (V&M), Yadadri bhuvanagiri(D)",Yadadri Bhuvangiri,Note:- Station Code  - 4224 - Koneru of Yadagiri Gutta Temple water sample could not be collected due to Koneru is under construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236,Lakes  & Tanks,"Pedda Cheruvu (Nacharam cheruvu), Uppal",Ranga Reddy,Station code:2359 & 4236 both the stations are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
