Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2357,Lakes & Tanks,Durgam cheruvu,RR-shamshabad,4.7,7.11,858,2,4.3,,17,350,2,,,,19,5,175,119,28,6.72,2.8,,190,110,44,80,19.44,73,,506,380,24,3.2,,0.5,,0.29,#,#
2344,Lakes & Tanks,Nalla cheruvu,Medchal Malkajgiri,0.3,7.09,852,6.2,7.4,,46,540,6.1,,,,36,5,170,106,68,10,3.36,,180,120,48,60,14.58,68,,494,669,38,3.06,,0.5,,0.61,#,#
2359,Lakes & Tanks,"Pedda Cheruvu, Nacharam",Medchal Malkajgiri,3,7.2,923,4.2,10,,24,430,6.1,,,,18,5,200,105,52,10.6,2.8,,220,110,44,110,26.73,64,,581,360,22,4.26,,0.5,,0.85,#,#
2342,Lakes & Tanks,Noor Md. Kunta,RR-shamshabad,1.1,6.99,1525,5.8,10.7,,39,540,6.1,,,,16,5,310,218,115,11.76,5.6,,340,200,80,140,34.02,128,,946,620,22,2.36,,0.5,,1.36,#,#
3070,Lakes & Tanks,"Fox sagar, Jeedimetla",Medchal Malkajgiri,3.2,7.51,1158,3.2,8.4,,26,350,4.5,,,,15,5,220,162,28,6.72,1.12,,240,130,52,110,26.73,78,,742,480,12,2.86,,0.5,,0.52,#,#
3074,Lakes & Tanks,Banjara Lake,Hyderabad,0.3,7.15,910,6,15.3,,40,430,4.5,,,,28,5,180,104,78,7.84,2.24,,190,92,36.8,98,23.81,66,,564,360,18,4.62,,0.5,,0.93,#,#
4237,Lakes & Tanks,Mundla Katwa Lake,Medchal Malkajgiri,0.3,6.71,767,8,3.9,,39,430,4.5,,,,30,5,160,96,169,10.31,2.8,,180,95,38,85,20.66,58,,453,320,32,4.8,,0.5,,0.86,#,#
4669,Lakes & Tanks,"Pedda Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",Rangareddy,3.2,7.01,751,2.2,8.2,,22,920,2,,,,21,5,190,78,36,5.6,1.12,,210,95,38,115,27.95,39,,490,320,20,3.68,,0.5,,0.49,#,#
4671,Lakes & Tanks,"Medi Kunta, Guttala Begumpet (V)",Rangareddy,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,Lakes & Tanks,"Medi Kunta (Wipro Lake), Nanakramguda",Rangareddy,3.2,7.5,740,4,3.8,,17,350,4,,,,16,5,150,92,56,12.3,3.36,,180,100,40,80,19.44,56,,466,280,16,2.8,,0.5,,0.93,#,#
4673,Lakes & Tanks,Medikunta lake (BK Enclave),Rangareddy,3,7.31,771,4,7.2,,11,350,2,,,,12,5,135,102,48,10.08,3.92,,150,60,24,90,21.87,68,,486,320,24,2.06,,0.5,,0.2,#,#
4674,Lakes & Tanks,"Meedi Kunta, Hafeezpet (V), Serlingampally",Rangareddy,3.7,7.1,485,2.6,1.7,,Less than 1.8,40,Less than 1.8,,,,12,5,72,59,36,2.24,0.4,,110,60,24,50,12.15,67,,306,200,28,2.72,,0.5,,0.6,#,#
