Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
5042,Lakes  & Tanks,"Yellamma Cheruvu, Kukatpally, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,,0.3,7.45,1401,12,2.81,,47,430,9.3,,,,24,5,295,174,177,15.68,6.16,,330,80,200,31.59,130,110,,868,580,28,4.82,2.2,0.5,,0.81,,
5043,Lakes  & Tanks,"Mysamma Cheruvu, Kukatpally, Balangar, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,,0.3,7.86,1359,8,2.16,,24,350,6.8,,,,20,5,320,186,88,10.64,5.04,,370,84,210,38.88,160,116,,842,550,16,4.56,1.32,0.5,,1.21,,
5045,Lakes  & Tanks,"MothkulaKunta, Machabollaram, Alwal, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,,0.3,7.53,1452,8,1.82,,49,540,9.3,,,,18,5,350,181,104,11.2,5.6,,390,92,230,38.88,160,113,,914,590,14,3.78,1.06,0.5,,1.2,,
5046,Lakes  & Tanks,"Chintal Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,,1.5,7.6,772,4,2.76,,17,350,2,,,,20,5,160,102,60,9.52,3.36,,240,52,130,26.73,110,78,,478,310,18,3.1,0.92,0.5,,1.13,,
5047,Lakes  & Tanks,"Mahaboob Kunta, Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,,0.3,7.54,1324,6,4.08,,34,430,6.8,,,,18,5,320,180,76,12.88,6.16,,360,88,220,34.02,140,102,,820,540,16,3.23,1.04,0.5,,0.92,,
5048,Lakes  & Tanks,"Bandam Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,,0.3,7.59,1481,6.4,6.72,,39,540,9.2,,,,24,5,220,218,84,16.8,7.28,,330,78,195,32.8,135,146,,918,610,20,2.92,1.08,0.5,,1.87,,
5049,Lakes  & Tanks,"Meddela Kunta,Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5050,Lakes  & Tanks,"Venna Cheruvu, Jeedimetla,Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,,2.7,7.43,1413,4,4.7,,21,350,2,,,,18,5,280,203,60,13.44,5.6,,400,100,250,36.45,150,128,,876,570,14,3.68,1.42,0.5,,1.5,,
5051,Lakes  & Tanks,"Chinna Bandam,Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,,0.3,7.57,1281,8,1.85,,46,430,9.3,,,,19,5,245,186,108,12.88,6.76,,370,88,220,36.45,150,115,,806,540,12,3.44,1.22,0.5,,0.76,,
5111,Lakes  & Tanks,"Nagireddy Kunta (Yapral Cheruvu), Yapral",Medchal Malkajgiri,,0.3,7.38,1642,8,9.86,,49,540,7.8,,,,24,5,250,257,92,15.12,8.4,,300,64,160,34.02,140,162,,1018,660,22,3.18,0.96,0.5,,1.06,,
5112,Lakes  & Tanks,"Kamuni Cheruvu, Kukatpally",Medchal Malkajgiri,,0.3,7.26,1191,14,4.52,,49,540,9.3,,,,24,5,290,152,209,16.8,8.4,,375,86,215,38.88,160,94,,750,480,20,3.11,1.32,0.5,,0.95,,
4675,Lakes  & Tanks,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",Hyderabad,,2.6,8.02,720,5.4,1.65,,14,350,4.5,,,,28,5,95,105,72,11.2,3.36,,140,30,75,15.79,65,84,,432,260,32,3.72,1.6,0.5,,1.65,,
4667,Lakes  & Tanks,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",Hyderabad,,0.3,8.2,2019,10,2.78,,49,540,9.3,,,,38,5,420,280,116,19.6,8.4,,510,128,320,46.17,190,210,,1211,720,42,1.82,0.05,0.59,,1.22,,
4689,Lakes  & Tanks,"Sunnam Kunta, Jubille hills",Hyderabad,,3.2,7.41,355,3,1.86,,11,210,Less than 1.8,,,,16,5,75,44,64,6.72,2.24,,105,24,60,10.94,45,18,,214,120,22,4.12,1.4,0.5,,1.38,,
4690,Lakes  & Tanks,"Banjara Kunta (Singadi Kunta), Shaikpet",Hyderabad,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5029,Lakes  & Tanks,"Mohini Cheruvu, Amberpet, Hyderabad",Hyderabad,"not collected ,dried up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5030,Lakes  & Tanks,"Naya Quila Talab, Golconda, Hyderabad",Hyderabad,,4.5,8.16,1121,4,14.67,,20,350,4.5,,,,24,5,200,164,68,12.32,5.6,,270,80,200,17.01,70,110,,672,410,28,3.46,1.22,0.5,,1.46,,
5031,Lakes  & Tanks,"Erra Kunta, Shaikpet, Hyderabad",Hyderabad,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5032,Lakes  & Tanks,"Kotha Cheruvu, Shaikpet, Hyderabad",Hyderabad,,3.7,7.4,1339,2,17.23,,39,430,9.3,,,,30,5,190,201,52,17.92,8.4,,345,80,200,35.23,145,122,,804,480,38,3.13,1.16,0.5,,1.42,,
5033,Lakes  & Tanks,"Shatham Talab, Shaikpet, Hyderabad",Hyderabad,lake covered with echornia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5034,Lakes  & Tanks,"Shikari Kunta, Shaikpet, Hyderabad",Hyderabad,,4.8,7.98,1061,4,2.4,,33,350,6.1,,,,22,5,120,167,64,15.12,4.48,,240,52,130,26.73,110,108,,640,380,30,4.8,1.32,0.5,,1.06,,
5035,Lakes  & Tanks,"Bathur Kunta, Shaikpet, Hyderabad",Hyderabad,,1,8.05,1264,4,3.17,,34,430,6.8,,,,32,5,220,174,62,16.8,6.72,,330,84,210,29.16,120,120,,758,460,38,3.74,1.1,0.5,,1.04,,
5038,Lakes  & Tanks,"Salkam Cheruvu, Bandlaguda, Hyderabad",Hyderabad,,0.3,7.79,1735,8,15.79,,39,430,6.8,,,,40,5,330,265,116,18.48,6.72,,440,116,290,36.45,150,170,,1040,620,44,2.16,0.18,0.5,,1.22,,
5039,Lakes  & Tanks,"DMRL, Lake, Kanchanbagh, Hyderabad",Hyderabad,,0.3,8.29,1332,10,15.39,,47,540,9.2,,,,28,5,115,247,128,17.36,6.16,,275,68,170,25.52,105,160,,786,480,30,0.96,0.05,0.5,,1.48,,
