Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),COD (mg/L),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4254,River Musi,River Musi sample at Rudravelly bridge,6.5,7.05,1450,36,3.2,18,0.24,Less than 2,46,,,,9,32,238,204,36,6.8,,Less than 0.01,377.45,72,48,39,69,815,609,15,Not Analysed,0.25,Less than 0.01,11,0.21,27.57,1.54
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",6.7,7.09,1410,34,3,15,0.22,Less than 2,63,,,,15,28,226,214,34,6.4,,Less than 0.01,326,68,38,34,65,782,564,22,Not Analysed,0.38,Less than 0.01,10,0.22,29.29,1.56
3082,River Musi,River Musi at Solipet (Kasaniguda),6.1,7.14,1339,40,3.8,14,0.34,Less than 2,43,,,,11,20,204,184,40,7.6,,Less than 0.01,307,65,35,33,57,752,556,20,Not Analysed,0.31,Less than 0.01,9,0.19,27.92,1.41
1172,Lakes & Tanks ,U/s of Musi at Gandipet (Osmansagar lake),5.8,7.96,420,12,2.3,Less than 0.1,Not Analysed,Less than 2,14,,,,8,Less than 1,133,46,12,Less than 1,Not Analysed,,150,30,18.22,18,29,260,Not Analysed,8,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,29.11,1.03
1780,Lakes & Tanks ,Gandigudem Tank,6.6,7.22,2071,41,3.4,28,0.33,Less than 2,38,,,,17,28,304,264,41,7.7,,Less than 0.01,418,85,50,50,98,1154,842,32,Not Analysed,0.39,0.04,18,0.32,32.43,2.08
2358,Lakes & Tanks ,Mallapur tank,Less than 0.1,7.5,2097,238,36,14.6,Not Analysed,32,430,,,,28,Less than 1,485,275,238,4.6,Not Analysed,,520,104,63.18,140,224,1322,Not Analysed,22,1.06,Not Analysed,0.41,12,1.31,47.48,4.26
2347,Lakes & Tanks ,Asani Kunta,Less than 0.1,7.36,5900,320,82,38,0.58,Less than 2,280,,,,218,36,1440,560,320,60.5,,Less than 0.01,1516,310,180,168,145,3398,2480,159,Not Analysed,0.33,0.45,49,0.39,16.56,1.61
1783,Lakes & Tanks ,Kistareddypet Tank,6.9,7.05,2923,38,3.6,31,0.26,Less than 2,41,,,,19,32,398,305,38,7.2,,Less than 0.01,589.65,124,68,74,112,1640,1165,21,Not Analysed,0.35,0.03,24,0.25,28.06,2.0
2348,Lakes & Tanks ,Khazipally Tank,6.8,6.71,2021,24,2.6,23,0.29,Less than 2,31,,,,13,24,280,248,24,4.5,,Less than 0.01,428.88,86,52,56,97,1148,839,15,Not Analysed,0.28,0.05,16,0.31,31.8,2.03
4302,Lakes & Tanks ,Rudraram Tank,5.6,7.14,1356,16,2.4,16,0.18,Less than 2,14,,,,17,20,224,180,16,3,,Less than 0.01,292,59,35,39,58,762,571,13,Not Analysed,0.23,0.03,17,0.15,28.58,1.47
