Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,
3084,Lakes & Tanks,"Waddepally tank, Kazipet",Warangal Urban,6,7.06,480,1,2.6,,Less than 1.8,33,Less than 1.8,,,,12,5,95,69,8,1.5,0.4,,110,20,50,15,60,34,#,320,240,10,0.78,,0.54,,0.65,#,#,,
3085,Lakes & Tanks,Chinnawaddepally tank,Warangal Urban,3,7.23,1077,2,5.5,,33,540,4,,,,18,5,270,110,40,9.52,2.2,,285,64,160,30,125,89,#,679,460,18,2.82,,0.5,,1.1,#,#,,
2345,Lakes & Tanks,Sai Cheruvu,Warangal Urban,0.3,7.54,2648,10,3.2,,40,540,2,,,,10,5,205,642,133,6.72,0.6,,220,48,120,24,100,162,#,1615,1090,10,2.38,,0.5,,0.98,#,#,,
4247,Lakes & Tanks,"Mucharla Nagaram cheruvu, Warangal",Warangal Urban,3.8,7.36,882,1.8,5.6,,20,280,2,,,,14,5,165,132,22,5.6,1.7,,175,38,95,19,80,64,#,548,380,14,2.2,,0.5,,1.06,#,#,,
4248,Lakes & Tanks,"Koti Cheruvu, Hanamkonda, Warangal",Warangal Urban,2.1,6.98,875,3.2,2.3,,11,350,2,,,,16,5,205,108,44,5.6,1.1,,215,44,110,26,105,38,#,550,380,16,1.62,,0.5,,0.56,#,#,,
4249,Lakes & Tanks,"Rangasamudram, Warangal",Warangal Urban,4.4,8.26,759,1.8,6.3,,17,240,Less than 1.8,,,,8,5,135,117,28,4.48,1.7,,145,30,75,17,70,48,#,464,314,14,1.27,,0.5,,0.8,#,#,,
4680,Lakes & Tanks,Laknavaram lake,Mulugu,6,7.08,204,1,0.8,,Less than 1.8,24,Less than 1.8,,,,8,5,60,18,5,1.5,0.4,,65,14.8,37,7,28,16,#,120,80,10,0.42,,0.5,,0.47,#,#,,
4681,Lakes & Tanks,Pakala lake Narsampet,Warangal Rural,6,7.97,281,1,0.37,,Less than 1.8,21,Less than 1.8,,,,6,5,100,17,5,1.5,0.4,,65,14,35,7,30,14,#,174,120,10,0.27,,0.54,,0.28,#,#,,
4682,Lakes & Tanks,Bandham Cheruvu,Warangal,4.2,7.14,902,2.2,4.9,,21,350,2,,,,16,5,190,96,44,5.6,1.1,,210,44,110,24,100,94,#,540,410,16,1.86,,0.5,,0.95,#,#,,
4683,Lakes & Tanks,"Pedda cheruvu, Madikonda",Warangal,4.4,7.48,1020,1.2,6.8,,11,350,Less than 1.8,,,,10,5,170,160,14,4.48,0.56,,190,42,105,20.66,85,83,#,680,490,12,1.02,,0.5,,1.02,#,#,,
