Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
4700,Lakes & Tanks ,"Large tank,/ Saroornagar, Rangareddy District.",RR-shamshabad,0.3,7.34,1240,8,2.86,,24,430,2,,,,29.4,5,255,155,75,7,1.48,0.02,295,180,72,115,27.95,88,,780,,42,1.78,,0.5,,0.96,,
4701,Lakes & Tanks ,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",Rangareddy,0.3,7.51,1353,6,3.8,,24,540,4,,,,7,5,280,164,60,7,1.52,0.03,325,195,78,130,31.59,95,,838,,10,1.94,,0.5,,1.06,,
4702,Lakes & Tanks ,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",Rangareddy,4,7.43,1573,21,,,140,920,,,,,33,8,332,189,62,45,,0.32,372,268,107,104,25,94,178,742,354,44,3.4,,,22,,49.2,4
4703,Lakes & Tanks ,"Bulbul kunta, Lakshmiguda, rajendranagar",Rangareddy,Sample was not submitted by RO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4704,Lakes & Tanks ,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",Rangareddy,0.3,7.28,721,7,2.6,,17,240,3.6,,,,19.6,5,140,94,67,4.2,0.84,0.01,166,99,39.6,67,16.28,52,,440,,28,1.48,,0.5,,0.82,,
4705,Lakes & Tanks ,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",Medchal Malkajgiri,0.3,7.48,1640,12,3.9,,14,540,4.5,,,,25.2,5,345,220,131,8.4,2.12,0.04,425,255,102,170,41.31,82,,1048,,36,2.14,,0.66,,0.86,,
5029,Lakes & Tanks ,"Mohini Cheruvu, Amberpet, Hyderabad",Hyderabad,0.3,8.13,1456,7,3.2,,17,430,4,,,,11.2,5,280,180,68,7,1.54,0.11,385,230,92,155,37.66,158.3,,874,,16,1.68,,0.5,,1.06,,
5030,Lakes & Tanks ,"Naya Quila Talab, Golconda, Hyderabad",Hyderabad,0.3,7.82,1104,8,2.3,,9.1,540,2,,,,19.6,5,225,140,95,4.2,1.12,0.04,280,165,66,115,27.95,110,,674,,28,1.98,,0.5,,1.08,,
5031,Lakes & Tanks ,"Erra Kunta, Shaikpet, Hyderabad",Hyderabad,0.3,7.56,625,18,2.02,,14,350,1.8,,,,23.1,5,120,88,199,5.6,1.46,0.03,65,40,16,25,6.08,56,,382,,33,0.92,,0.5,,0.88,,
5032,Lakes & Tanks ,"Kotha Cheruvu, Shaikpet, Hyderabad",Hyderabad,0.3,7.36,2075,6,2.13,,21,540,8.1,,,,60.2,5,380,280,64,8.4,2.96,0.04,425,255,102,170,41.31,168,,1308,,86,2.92,,0.66,,1.14,,
