Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,
4662,River Godavari,River godavari Kaleshwaram,5.5,7.98,360,2.4,1.8,,Less than 1.8,7,Less than 1.8,,,,2,5,120,24,23,1.5,0.4,Less than 0.01,135,32,13.37,15,19,210,,13,0.2,,0.5,2,0.2,23.0,0.71,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6,8.26,315,2.4,1.2,,Less than 1.8,7,Less than 1.8,,,,5,5,80,32,20,1.5,0.4,Less than 0.01,95,22,9.72,24,26,188,,16,0.2,,0.5,4,0.2,35.97,1.16,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",5.8,8.12,320,2.6,1,,Less than 1.8,8,Less than 1.8,,,,4,5,95,36,26,1.5,0.4,Less than 0.01,110,28,9.72,18,25,195,,18,0.2,,0.5,2.1,0.2,32.44,1.03,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,5.6,8.1,396,2.6,1,,Less than 1.8,10,Less than 1.8,,,,12,5,145,32,32,1.5,0.4,Less than 0.01,155,30,19.44,20,26,240,,14,0.2,,0.5,1,0.2,26.44,0.91,1.0
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,5.6,7.52,366,2.4,1.2,,Less than 1.8,5,Less than 1.8,,,,13,5,120,26,28,1.5,0.4,Less than 0.01,140,32,14.58,16,18,210,,26,0.2,,0.5,2,0.2,21.45,0.66,
2369,River Godavari,River Godavari at Burgampahad,4.6,7.74,392,2.9,1.6,,Less than 1.8,4,Less than 1.8,,,,10,5,115,32,22,1.5,0.4,Less than 0.01,125,28,13.37,24,27,224,,13,0.2,,0.5,2,0.2,31.4,1.05,
2373,River Godavari,Kunavaram at Sabari,6.6,7.94,120,2.4,0.6,,Less than 1.8,4,Less than 1.8,,,,5,5,45,10,4,1.5,0.4,Less than 0.01,50,10,6.08,5,6,76,,16,0.2,,0.5,1,0.2,20.18,0.37,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",4,7.9,412,3,0.3,,Less than 1.8,10,Less than 1.8,,,,2.2,5,115,58,44,1.5,0.4,Less than 0.01,120,28,12.15,26,47,232,,10,0.2,,0.5,1.8,0.2,45.39,1.86,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",3.6,8.03,1020,6,1.6,,Less than 1.8,21,Less than 1.8,,,,5,5,260,112,70,1.5,0.4,Less than 0.01,297,66,32,92,109,610,,13,0.76,,0.5,5,0.5,43.74,2.74,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,3.8,8.26,875,4,1.1,,Less than 1.8,21,Less than 1.8,,,,7,5,235,108,46,1.5,0.4,Less than 0.01,260,54,30.38,78,94,526,,10,0.21,,0.5,2,0.2,43.62,2.53,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,3.6,7.95,672,4,2.2,,2,25,Less than 1.8,,,,5.8,5,190,60,42,1.5,0.4,Less than 0.01,205,42,24.3,32,46,408,,18,0.2,,0.5,2.8,0.2,32.27,1.39,
1158,River Maneru / Manair,River Maneru at Somanpally,5.3,8.31,576,3,0.28,,Less than 1.8,9,Less than 1.8,,,,3,10,160,62,32,1.5,0.4,Less than 0.01,185,36,23.09,44,52,352,,10,0.2,,0.5,2.1,0.2,37.44,1.66,
4258,River Manjeera,"Singoor Dam Reservoir,",6.8,7.4,427,2.1,4,0.11,7,20,1.8,,,,9,12,88,52,24,4.5,0.4,Less than 0.01,114,25,13,7,12,291,241,10,,0.08,0.5,4,0.2,17.64,0.48,
1157,River Manjeera,River Manjeera at Raipally,6.5,7.36,361,2.1,4,0.17,2,22,1.8,,,,7,8,88,40,22,3.9,0.4,Less than 0.01,110,24,12,5,11,204,152,10,,0.1,0.5,3,0.2,17.36,0.46,
1781,River Manjeera,Manjeera at Ganapathi sugars,7,7.31,559,2.8,4,0.08,1.8,35,Less than  1.8,,,,8,12,108,54,28,5,0.4,Less than 0.01,140,30,16,8,14,318,233,10,,0.07,0.5,4,0.2,17.17,0.51,
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,6.8,7.42,614,3,6,0.11,2,36,1.8,,,,11,12,118,56,30,5.6,0.4,Less than 0.01,154.03,32,18,12,15,345,239,10,,0.08,0.5,5,0.2,16.81,0.52,
