Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,6,8.11,209,2.1,0.94,,Less than 1.8,12,Less than 1.8,,,,15,5,38,22,7,1.5,0.4,Less than 0.01,46,9,5.83,14,17,125,,13,0.2,,0.5,2,0.21,43.06,1.09
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,5.9,8.1,182,2.1,0.82,,Less than 1.8,23,Less than 1.8,,,,14,5,36,25,8,1.5,0.4,Less than 0.01,46,8,6.32,17,19,102,,12,0.2,,0.5,2,0.2,45.8,1.21
2369,River Godavari,River Godavari at Burgampahad,6,8.13,210,2.1,0.97,,Less than 1.8,5,Less than 1.8,,,,8,5,40,28,9,1.5,0.4,Less than 0.01,48,11,4.86,16,22,124,,10,0.2,,0.5,3,0.39,47.86,1.38
2373,River Godavari,Kunavaram at Sabari,6.4,7.82,100,2.1,0.3,,Less than 1.8,8,Less than 1.8,,,,5,5,20,17,7,1.5,0.4,Less than 0.01,20,3,2.92,10,9,61,,10,0.2,,0.5,2,0.2,46.28,0.87
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",6,8.46,403,2.3,0.98,,8,33,Less than 1.8,,,,11,25,70,52,18,1.5,0.4,Less than 0.01,95,22,15,38,39,232,,13,0.35,,0.5,4,0.2,40.88,1.56
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",3.1,8.14,2822,13,6.7,,Less than 1.8,12,Less than 1.8,,,,12,5,420,474,102,28,4.2,0.3,460,102,49.81,182,376,1692,,52,0.2,,0.5,31,0.2,61.94,7.6
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,4.8,8.62,876,2.2,2.34,,Less than 1.8,Less than 1.8,Less than 1.8,,,,12,25,140,132,38,1.5,0.4,Less than 0.01,160,34,18.22,82,122,525,,14,0.2,,0.5,7,0.2,60.95,4.18
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,5.7,8.28,480,2.3,1.37,,23,130,8,,,,7,30,100,56,20,1.5,0.4,Less than 0.01,115,24,19,38,45,306,,34,0.28,,0.5,5,0.2,40.19,1.66
1158,River Maneru / Manair,River Maneru at Somanpally,6,8.51,664,2.1,0.8,,8,49,Less than 1.8,,,,8,35,130,92,24,1.5,0.4,Less than 0.01,140,34,13.37,52,78,412,,10,0.2,,0.5,4,0.21,53.77,2.86
4258,River Manjeera,"Singoor Dam Reservoir,",7.4,7.31,279,2.2,1,0.18,Less than 1.8,13,Less than 1.8,,,,4,8,72,34,14,2.6,0.4,Less than 0.01,80,16,10,5,13,160,114,10,,0.09,0.5,2,0.2,25.12,0.63
