Station code,water_bodies,Station name,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,
3085,Lakes  & Tanks,Chinnawaddepally tank,,0.5,7.46,1193,5.2,2.41,,32,430,6.8,,,,20,5,218,198,68,11.2,5.6,,405,116,290,27.95,115,124,,740,490,18,3.1,1.64,0.5,,1.75,,,,
2345,Lakes  & Tanks,Sai Cheruvu,,0.3,6.59,7027,12,5.23,,49,540,9.3,,,,32,5,320,1620,304,8.4,2.24,,450,96,240,51.03,210,662,,4216,2900,28,2.42,1.22,0.5,,1.62,,,,
4247,Lakes  & Tanks,"Mucharla Nagaram cheruvu, Warangal",lake is covered with hyacinth sprea over tahe perphery of the lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4248,Lakes  & Tanks,"Koti Cheruvu, Hanamkonda, Warangal",,0.3,6.89,853,6.4,2.98,,14,350,2,,,,16,5,205,120,82,5.6,1.68,,260,56,140,29.16,120,76,,528,360,14,1.22,0.68,0.5,,1.09,,,,
4249,Lakes  & Tanks,"Rangasamudram, Warangal",lake is covered with hyacinth sprea over tahe perphery of the lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4680,Lakes  & Tanks,Laknavaram lake,,5.9,7.76,173,1,0.66,,Less than 1.8,22,Less than 1.8,,,,3,5,45,17,16,1.5,0.4,,60,14,35,6.08,25,11,,100,60,16,0.2,0.05,0.5,,0.59,,,,
4681,Lakes  & Tanks,Pakala lake Narsampet,,5.8,8.33,282,1.2,0.61,,Less than 1.8,46,Less than 1.8,,,,18,5,75,27,16,1.5,0.4,,95,20,50,10.94,45,16,,170,100,10,0.2,0.05,0.5,,0.68,,,,
4682,Lakes  & Tanks,Bandham Cheruvu,Lake covered with water hyacinth,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,
4683,Lakes  & Tanks,"Pedda cheruvu, Madikonda",,0.8,7.34,933,5.8,1.84,,11,350,4.5,,,,22,5,200,142,67,6.72,3.36,,228,65.6,164,15.55,64,80,,588,390,16,1.42,0.96,0.5,,0.47,,,,
4243,Lakes  & Tanks,"Isnapur Tank,",,3,7.2,4200,20,102,0.44,7.8,70,4,,,,6.2,24,608,740,224,18,0.4,BDL,1227.98,320,800,104,427.98,117,310,2352,1646.4,44,,0.52,0.5,12,0.3,35.26,3.86,,
4302,Lakes  & Tanks,Rudraram Tank,,5.9,7.16,2415,6.2,38,0.2,6.1,36,4.5,,,,8.5,20,244,510,70,5,0.4,BDL,415,80,200,52,215,36,220,1352.4,946.68,8,,0.05,0.5,13,0.2,52.73,4.71,,
4240,Lakes  & Tanks,"Muthangi Tank,",,6.1,7.41,1618,4.5,45,0.17,7.8,38,4,,,,9.5,8,268,232,41,4,0.4,BDL,380,72,180,48,200,80,127,906.08,634.26,7,,0.05,0.5,11,0.2,41.46,2.85,,
4241,Lakes  & Tanks,"Chitkul Tank,",,6.4,6.78,1619,3.4,50,0.18,6.1,58,4.5,,,,9.1,24,188,354,37,5,0.4,BDL,374.61,84,210,40,164.61,58,155,906.64,634.65,7,,0.19,0.5,10,0.2,46.63,3.49,,
4242,Lakes  & Tanks,"Lakadaram Cheruvu,",,6.2,7.32,2359,4.1,70,0.15,6.8,34,3.7,,,,9.6,8,340,374,47,6,0.4,BDL,615,120,300,76,315,102,130,1321.04,924.73,8,,0.05,0.5,7,0.2,31.35,2.29,,
