Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
5033,Lakes  & Tanks,"Shatham Talab, Shaikpet, Hyderabad",Hyderabad,0.3,8.29,1488,8,12.2,N.A,27,430,12,,,,16,10,450,169,84,5.6,0.68,0.07,465,288,115.2,177,43.01,104,,922,,14,1.96,N.A,0.5,,0.98,,,,0.02,0.03,0.1,0.06,0.1,0.07,0.39
5034,Lakes  & Tanks,"Shikari Kunta, Shaikpet, Hyderabad",Hyderabad,4.2,8.33,1057,3.2,3.2,N.A,27,480,Less than 1.8,,,,8,10,305,115,47,2.24,0.46,0.05,320,204,81.6,116,28.19,69,,666,,13,1.2,N.A,0.5,,0.92,,,,0.02,0.03,0.1,0.06,0.1,0.04,0.12
5035,Lakes  & Tanks,"Bathur Kunta, Shaikpet, Hyderabad",Hyderabad,0.3,7.63,1124,7,2.1,N.A,27,480,Less than 1.8,,,,34,5,320,130,67,4.48,0.68,0.02,330,206,82.4,124,30.13,78,,686,,44,2.06,N.A,0.5,,0.82,,,,0.02,0.03,0.1,0.06,0.1,0.04,0.16
5036,Lakes  & Tanks,"Ramana Cheruvu,Boinpally, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,Lake sample were not collected as the surface of the lake was spread over with water hycianth plants.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5037,Lakes  & Tanks,"Thirumalagiri Tank, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,Lake Sample were not collected as there was no access to collect sample.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5038,Lakes  & Tanks,"Salkam Cheruvu, Bandlaguda, Hyderabad",Hyderabad,0.3,7.97,2026,10,10.8,N.A,31,540,14,,,,12,5,480,270,123,7.84,3.16,0.16,495,298,119.2,197,47.87,164,,1216,,20,2.28,N.A,0.5,,0.9,,,,0.02,0.03,0.1,0.06,0.1,0.07,0.14
5039,Lakes  & Tanks,"DMRL, Lake, Kanchanbagh, Hyderabad",Hyderabad,0.3,7.97,1572,8,9.8,N.A,32,480,12,,,,8,5,420,240,111,5.6,1.61,0.08,435,262,104.8,173,42.04,148,,974,,14,2.08,N.A,0.5,,1.02,,,,0.02,0.03,0.1,0.06,0.1,0.06,0.12
5040,Lakes  & Tanks,"Bandlaguda Cheruvu, Bandlaguda, Uppal, Medchal Dist.",Medchal Malkajgiri,0.3,7.1,1458,10,5.9,N.A,26,540,14,,,,11,5,350,168,143,5.6,1.68,0.02,358,218,87.2,140,34.02,106,,874,,17,3.02,N.A,0.5,,0.94,,,,0.02,0.03,0.1,0.06,0.1,0.14,0.46
5041,Lakes  & Tanks,"Pathulguda, Uppal, Medchal Dist.",Medchal Malkajgiri,3.9,8.02,1368,2,4.8,N.A,32,540,9.2,,,,9,5,345,184,24,4.48,1.22,0.11,356,220,88,136,33.05,114,,848,,18,3.82,N.A,0.5,,0.92,,,,0.02,0.03,0.1,0.06,0.1,0.05,0.12
5042,Lakes  & Tanks,"Yellamma Cheruvu, Kukatpally, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,0.3,7.36,1609,8,12.2,N.A,41,430,8.1,,,,42,5,410,198,94,6.72,2.8,0.04,422,252.0,100.8,170,41.31,198,,1014,,116,3.22,N.A,0.5,,0.92,,,,0.02,0.03,0.1,0.06,0.1,0.09,4.85
5043,Lakes  & Tanks,"Mysamma Cheruvu, Kukatpally, Balangar, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,0.3,7.38,1475,6,6.2,N.A,33,540,10,,,,22,5,450,169,59,5.6,1.7,0.03,465,288,115.2,177,43.01,84,,914,,122,2.88,N.A,0.5,,1,,,,0.02,0.03,0.1,0.06,0.1,0.02,0.06
5044,Lakes  & Tanks,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Medchal Malkajgiri,0.3,7.38,1585,14,18.2,N.A,47,540,8.3,,,,26,5,360,178,167,5.6,2.02,0.03,380,232.0,92.8,148,35.96,74,,966,,76,2.28,N.A,0.5,,1.2,,,,0.02,0.03,0.1,0.06,0.1,0.02,0.06
5045,Lakes  & Tanks,"MothkulaKunta, Machabollaram, Alwal, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,0.3,7.63,1735,6,6.2,N.A,40,540,4,,,,24,5,440,230,63,6.72,2.46,0.02,455,288,115.2,167,40.58,164,,1058,,83,3.16,N.A,0.5,,0.98,,,,0.02,0.03,0.1,0.06,0.1,0.05,0.26
5046,Lakes  & Tanks,"Chintal Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,3,7.37,705,2.4,10,N.A,40,430,6.31,,,,10,5,170,64,16,3.36,0.4,0.07,180,110,44,70,17.01,64,,438,,14,0.82,N.A,0.5,,0.98,,,,0.02,0.03,0.1,0.06,0.1,0.04,0.06
5047,Lakes  & Tanks,"Mahaboob Kunta, Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,Lake Sample were not collected as there was no access to collect sample.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5048,Lakes  & Tanks,"Bandam Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Lake Sample were not collected as there was no access to collect sample.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5049,Lakes  & Tanks,"Meddela Kunta,Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,2,7.49,1544,4,6.8,N.A,21,540,11,,,,8,5,385,264,59,6.72,1.85,0.04,400,256,102.4,144,34.99,122,,958,,12,3.46,N.A,0.5,,1.1,,,,0.02,0.03,0.1,0.06,0.1,0.05,0.12
5050,Lakes  & Tanks,"Venna Cheruvu, Jeedimetla,Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,0.3,7.67,1674,6,7.2,N.A,38,540,8.1,,,,18,5,390,215,63,4.48,1.68,0.06,405,246,98.4,159,38.64,150,,1054,,38,1.64,N.A,0.5,,0.98,,,,0.02,0.03,0.1,0.06,0.1,0.05,0.2
5051,Lakes  & Tanks,"Chinna Bandam,Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,Lake Sample were not collected as there was no access to collect sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5052,Lakes  & Tanks,"Bakshi Kunta, Chandhanagar, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,Dried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5053,Lakes  & Tanks,"Ramamma Kunta, Gachibowli, Rangareddy Dist (Dr. YSR Toursim College)",Medchal Malkajgiri,3.9,7.27,926,2.8,5.4,N.A,12,350,24,,,,12,5,302,118,32,4.48,1.62,0.02,424,266,106.4,158,38.39,69,,580,,15,1.86,N.A,0.5,,0.86,,,,0.02,0.03,0.1,0.06,0.1,0.05,0.1
5054,Lakes  & Tanks,"Komati Kunta, Gopanpally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,2.1,7.21,1026,3,2.8,N.A,21,540,2,,,,12,5,235,154,35,4.48,1.26,0.02,248,156,62.4,92,22.36,80,,636,,28,1.44,N.A,0.5,,1.04,,,,0.02,0.03,0.1,0.06,0.1,0.04,0.06
