Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",6.1,7.37,1168,3.5,6,0.28,4,110,,,,27,24,148,114,20,4.91,3.1,0.04,187.23,42,20,17,52,624,457,23,Not analysed,0.32,0.03,5,0.25,36.73,1.65
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",6.5,7.21,1343,3,15,0.25,4,63,,,,13,16,182,145,10,2.9,1.6,0.01,253.38,52,30,20,57,761,583,27,Not analysed,0.31,0.04,8,0.31,31.84,1.55
4244,Lakes & Tanks ,"Erdanoor Tank,",7.2,7.05,590,2,7,0.59,Less than 2,41,,,,9,12,74,60,15,5.4,4.05,0.03,101.11,24,10,12,27,352,165,19,Not analysed,0.38,Less than 0.01,4,0.39,35.47,1.16
4245,Lakes & Tanks ,"Mallepally Tank,",6.5,7.45,1812,3.7,23,0.43,Less than 2,34,,,,12,20,168,132,28,5.29,3.33,0.52,238.4,46,30,33,57,1063,726,21,Not analysed,0.33,0.02,11,0.17,32.78,1.6
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",2,7.45,722,6,1.2,Not Analysed,24,260,,,,10,Less than 1,250,74,36,Less than 1,Not Analysed,,280,56,34.02,29,48,460,Not aNot analysedlysed,5,0.72,Not analysed,0.18,3,0.64,26.76,1.24
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",Less than  0.1,7.12,1106,12,14.08,Not Analysed,20,350,,,,12,Less than 1,255,150,80,3,Not Analysed,,265,60,27.95,64,124,696,Not aNot analysedlysed,12,1.28,Not analysed,0.36,4,1.4,50,3.3
4229,Lakes & Tanks ,Neknampur Lake,Less than  0.1,7.28,2295,28,2.86,Not Analysed,26,350,,,,20,Less than 1,480,344,149,4.2,Not Analysed,,645,128,78.97,134,212,1380,Not aNot analysedlysed,18,1.8,Not analysed,0.54,6,0.92,41.24,3.62
4249,Lakes & Tanks ,"Rangasamudram, Warangal",Less than  0.1,7.58,1219,16,4,Not Analysed,20,230,,,,14,Less than 1,285,166,92,3.4,Not Analysed,,320,72,34.02,68,124,760,Not aNot analysedlysed,12,0.62,Not analysed,0.24,4,0.96,45.2,3.01
4661,Lakes & Tanks ,Peddakanjarla Tank,Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666,Lakes & Tanks ,Ismailkhanpet Tank,Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
