Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium %,SAR,Arsenic,Lead,Cadmium,Copper,Zinc,Total Chromium,Nickel,Iron
4687,Lakes & Tanks ,Red Lake Icrisat,6.1,7.58,982,3.4,12,0.34,6,430,,,,24,16,210,108,52,8.1,,,279.84,56,34,34,37,552,388,39,,0.35,Less than 0.01,8,Less than 0.01,22,1,BDL,BDL,BDL,BDL,0.03,BDL,BDL,BDL
4689,Lakes & Tanks ,"Sunnam Kunta, Jubille hills",4,7.52,864,10,8,,22,280,,,,32,Less than 1,216,104,56,2.5,Less than 1,Less than 0.01,288,67,29,25,145,484,,5,0.9,,Less than 0.01,15,1.1,51,3.7,,ND,0.02,0.18,0.04,ND,ND,
4690,Lakes & Tanks ,"Banjara Kunta (Singadi Kunta), Shaikpet",2.8,7.2,1220,18,9,,40,350,,,,31,Less than 1,332,134,84,3.2,3,Less than 0.01,376,99,31,65,175,744,,18,2.3,,Less than 0.01,17,1,49,3.9,,ND,0.03,0.14,0.06,ND,ND,
4691,Lakes & Tanks ,"Nagole Cheruvu, Uppal Malkajigiri District.",2.5,7.7,1365,14,14,,38,430,,,,38,Less than 1,360,190,80,4.1,Less than 1,Less than 0.01,384,50,63,110,89,805,,18,Less than 0.01,,Less than 0.01,18,0.5,32,2,,ND,ND,0.16,0.04,ND,ND,
4692,Lakes & Tanks ,"Ramanthapur Cheruvu, Medchal-Malkajigiri District.",Sample not collected due to no accessibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4693,Lakes & Tanks ,"Patel Cheruvu, Madeenaguda, Miyapur",DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4694,Lakes & Tanks ,Mundla Katwa Lake,"4237 & 4694 BOTH ARE SAMPLE i.e., OLD 4237 DATA HAS TO BE TAKEN (4694 TO REPLACE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,Lakes & Tanks ,"Khaja Kunta, Kukatpally (V)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes & Tanks ,"Parki Cheruvu, Kukatpally (V), Balanagar",2.1,7.5,1818,10,7,,33,430,,,,8,Less than 1,448,189,56,4,4,0.08,472,86,62,124,198,1073,,9,0.3,,Less than 0.01,20,0.12,46,4,,ND,0.03,0.14,0.03,ND,ND,
4697,Lakes & Tanks ,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes & Tanks ,"Mannevari Kunta, Machabollaram (V), Alwal",2.7,7.4,1418,27,8,,23,350,,,,28,Less than 1,408,220,136,3.3,4,0.06,336,98,22,110,178,826,,35,3.6,,Less than 0.01,5.2,0.9,56,4.2,,,,,,,,
4699,Lakes & Tanks ,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",3.8,7.23,475,6,3,,Less than 2,28,,,,17,Less than 1,150,69,50,Less than 1,Less than 1,Less than 0.01,240,64,19,20,40,323,,19,Less than 0.1,,Less than 0.01,2.2,0.5,26,1.1,,ND,ND,0.23,0.04,ND,ND,
